City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,80.13,74,85,15.46,overcast clouds
1,Bambous Virieux,MU,-20.3428,57.7575,75.2,94,75,11.5,light rain
2,Cape Town,ZA,-33.9258,18.4232,63.0,88,75,12.66,broken clouds
3,Deputatskiy,RU,69.3,139.9,25.63,85,67,4.7,broken clouds
4,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,3.44,few clouds
5,Punta Arenas,CL,-53.15,-70.9167,48.2,87,75,3.44,light rain
6,Iqaluit,CA,63.7506,-68.5145,33.8,86,90,3.15,overcast clouds
7,Sungaipenuh,ID,-2.0833,101.3833,68.81,89,100,1.68,overcast clouds
8,Kaseda,JP,31.4167,130.3167,62.6,42,0,9.22,clear sky
9,Brokopondo,SR,4.75,-55.1667,76.06,92,100,7.61,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,46.0,89,100,14.0,overcast clouds
11,Sitka,US,57.0531,-135.33,57.2,44,1,3.44,clear sky
12,Lebu,CL,-37.6167,-73.65,54.99,92,30,9.46,scattered clouds
13,Albany,US,42.6001,-73.9662,51.8,53,20,20.71,few clouds
14,Fortuna,US,40.5982,-124.1573,54.0,81,75,10.36,broken clouds
15,Emerald,AU,-23.5333,148.1667,75.99,35,0,9.22,clear sky
16,Jamestown,US,42.097,-79.2353,39.0,69,75,10.36,broken clouds
17,Souillac,MU,-20.5167,57.5167,75.2,94,75,11.5,light rain
18,Pyay,MM,18.8167,95.2167,84.11,64,53,5.61,broken clouds
19,Maxixe,MZ,-23.8597,35.3472,67.89,93,0,4.32,clear sky
20,Busselton,AU,-33.65,115.3333,64.0,94,99,4.36,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,39.2,60,90,13.8,overcast clouds
22,Saint George,US,37.1041,-113.5841,77.0,15,1,25.32,clear sky
23,Provideniya,RU,64.3833,-173.3,41.0,60,0,4.47,clear sky
24,Kununurra,AU,-15.7667,128.7333,87.8,33,100,14.97,overcast clouds
25,Avera,US,33.194,-82.5271,68.0,83,90,5.88,overcast clouds
26,Winnemucca,US,40.973,-117.7357,46.4,66,90,12.66,overcast clouds
27,Pevek,RU,69.7008,170.3133,23.61,88,99,7.47,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,70.59,51,73,12.35,broken clouds
